Date,Open,High,Low,Close,Tick,Volume
2020.03.11 10:25,90591,90934,90535,90899,40355,105733
2020.03.11 10:30,90899,91383,90581,91343,100377,277420
2020.03.11 10:35,91338,91515,90949,91045,79298,217493
2020.03.11 10:40,91045,91565,90828,91217,82710,224482
2020.03.11 10:45,91212,91474,90762,90808,61111,165403
2020.03.11 10:50,90813,91116,90667,90949,62994,163028
2020.03.11 10:55,90954,91182,90636,90803,64858,166821
2020.03.11 11:00,90798,91015,90555,90697,54439,134173
2020.03.11 11:05,90697,91131,90545,91045,51629,126350
2020.03.11 11:10,91045,91237,90914,91015,47758,115692
2020.03.11 11:15,91015,91076,90778,90924,34782,85885
2020.03.11 11:20,90924,90990,90399,90449,48957,126073
2020.03.11 11:25,90449,90490,90025,90061,53184,142371
2020.03.11 11:30,90061,90227,89894,90187,56517,153987
2020.03.11 11:35,90182,90182,89450,89753,72685,200587
2020.03.11 11:40,89753,89864,89526,89556,41789,111578
2020.03.11 11:45,89556,89960,89364,89420,58527,173845
2020.03.11 11:50,89420,89627,89303,89359,45124,133208
2020.03.11 11:55,89359,89611,89071,89480,52950,157039
2020.03.11 12:00,89480,89657,88975,88985,60949,191045
2020.03.11 12:05,88985,89283,88874,89192,46386,136173
2020.03.11 12:10,89197,89248,88899,89081,42960,126439
2020.03.11 12:15,89081,89152,88708,88758,42002,142414
2020.03.11 12:20,88753,88834,88430,88480,38520,121400
2020.03.11 12:25,88480,88662,88390,88541,35477,118144
2020.03.11 12:30,88546,88793,88455,88703,36037,120829
2020.03.11 12:35,88708,88859,88561,88829,34495,108914
2020.03.11 12:40,88829,88899,88405,88591,43450,136678
2020.03.11 12:45,88591,88758,88420,88677,33658,109463
2020.03.11 12:50,88682,88834,88258,88329,40396,133080
2020.03.11 12:55,88329,88425,88071,88334,48616,149424
2020.03.11 13:00,88339,88551,88152,88480,34346,103557
2020.03.11 13:05,88485,88647,88248,88591,38328,110215
2020.03.11 13:10,88591,88718,88455,88642,27576,85009
2020.03.11 13:15,88642,88844,88485,88723,38379,124380
2020.03.11 13:20,88718,88869,88425,88445,41117,136404
2020.03.11 13:25,88445,88506,88157,88248,40910,127872
2020.03.11 13:30,88243,88329,87698,87950,53807,174447
2020.03.11 13:35,87950,88026,87380,87420,54056,177345
2020.03.11 13:40,87410,87597,87112,87218,55078,176257
2020.03.11 13:45,87223,87425,87092,87254,43392,130306
2020.03.11 13:50,87249,87562,87097,87264,43078,138120
2020.03.11 13:55,87269,87370,86865,87304,57855,182699
2020.03.11 14:00,87309,87324,86688,86734,55788,167891
2020.03.11 14:05,86739,86946,86481,86562,52601,147656
2020.03.11 14:10,86567,86708,86350,86355,46028,138318
